"Name","DistinguishedName"
"REL","OU=REL,DC=radicaldc,DC=lab"
"Users","OU=Users,OU=REL,DC=radicaldc,DC=lab"
"00-Major","OU=00-Major,OU=REL,DC=radicaldc,DC=lab"
"admins","OU=admins,OU=Users,OU=REL,DC=radicaldc,DC=lab"
"users","OU=users,OU=Users,OU=REL,DC=radicaldc,DC=lab"
"Groups","OU=Groups,OU=REL,DC=radicaldc,DC=lab"
"Computers","OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"Windows","OU=Windows,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"Linux","OU=Linux,OU=Computers,OU=REL,DC=radicaldc,DC=lab"
"service-accounts","OU=service-accounts,OU=Users,OU=REL,DC=radicaldc,DC=lab"
